"bookRank","author","authorRank","title","avg_rating","num_ratings","publication_year","num_pages","titleLength","book_series"
1,"J. K. Rowling",1,"Harry Potter and the Sorcerer's Stone",4.43,4222665,1997,320,56,"Harry Potter"
2,"J. K. Rowling",1,"Harry Potter and the Prisoner of Azkaban",4.51,1786851,2004,435,59,"Harry Potter"
3,"J. K. Rowling",1,"Harry Potter and the Deathly Hallows",4.6,1688191,2007,784,55,"Harry Potter"
4,"J. K. Rowling",1,"Harry Potter and the Goblet of Fire",4.51,1697059,2002,734,54,"Harry Potter"
5,"J. K. Rowling",1,"Harry Potter and the Order of the Phoenix",4.45,1706789,2004,870,60,"Harry Potter"
6,"J. K. Rowling",1,"Harry Potter and the Chamber of Secrets",4.35,1721691,1999,352,58,"Harry Potter"
7,"J. K. Rowling",1,"Harry Potter and the Half-Blood Prince",4.52,1634957,2006,652,57,"Harry Potter"
8,"J. K. Rowling",1,"The Tales of Beedle the Bard",4.03,272347,2008,109,28,""
9,"J. K. Rowling",1,"Harry Potter Boxset",4.74,189312,NA,4100,40,"Harry Potter"
10,"J. K. Rowling",1,"Harry Potter and the Cursed Child - Parts One and Two",3.83,223266,2016,343,72,"Harry Potter"
1,"Bella Forrest",2,"A Shade of Vampire",3.83,35700,2012,154,43,"A Shade of Vampire"
2,"Bella Forrest",2,"A Shade of Blood",4,21431,2013,340,41,"A Shade of Vampire"
3,"Bella Forrest",2,"A Castle of Sand",4.09,16336,2013,329,41,"A Shade of Vampire"
4,"Bella Forrest",2,"A Shadow of Light",4.09,14133,NA,301,42,"A Shade of Vampire"
5,"Bella Forrest",2,"A Blaze of Sun",4.14,11910,2013,NA,39,"A Shade of Vampire"
6,"Bella Forrest",2,"A Gate of Night",4.19,8871,2014,276,40,"A Shade of Vampire"
7,"Bella Forrest",2,"A Break of Day",4.17,7098,2014,244,39,"A Shade of Vampire"
8,"Bella Forrest",2,"A Shade of Novak",4.35,4293,NA,NA,41,"A Shade of Vampire"
9,"Bella Forrest",2,"A Bond of Blood",4.34,3820,NA,NA,40,"A shade of Vampire"
10,"Bella Forrest",2,"A Spell of Time",4.35,3312,NA,NA,41,"A Shade of Vampire"
1,"Jeff Wheeler",3,"The Wretched of Muirwood",3.94,10277,2013,300,50,"Legends of Muirwood"
2,"Jeff Wheeler",3,"The Blight of Muirwood",4.1,8154,2013,453,48,"Legends of Muirwood"
